iter	Passed	Remaining
921	28326	2396
922	28358	2365
923	28388	2334
924	28414	2303
925	28437	2272
926	28466	2241
927	28497	2211
928	28521	2179
929	28554	2149
930	28591	2119
931	28624	2088
932	28650	2057
933	28683	2026
934	28704	1995
935	28729	1964
936	28756	1933
937	28786	1902
938	28812	1871
939	28841	1840
940	28867	1809
941	28896	1779
942	28920	1748
943	28944	1717
944	28969	1686
945	28992	1654
946	29024	1624
947	29056	1593
948	29087	1563
949	29113	1532
950	29137	1501
951	29163	1470
952	29192	1439
953	29213	1408
954	29240	1377
955	29269	1347
956	29306	1316
957	29331	1285
958	29355	1255
959	29381	1224
960	29408	1193
961	29432	1162
962	29450	1131
963	29466	1100
964	29486	1069
965	29503	1038
966	29524	1007
967	29550	976
968	29605	947
969	29635	916
970	29661	885
971	29682	855
972	29701	824
973	29720	793
974	29734	762
975	29757	731
976	29774	700
977	29794	670
978	29819	639
979	29842	609
980	29862	578
981	29887	547
982	29918	517
983	29937	486
984	29956	456
985	29972	425
986	29987	394
987	30002	364
988	30016	333
989	30034	303
990	30049	272
991	30065	242
992	30085	212
993	30106	181
994	30125	151
995	30143	121
996	30158	90
997	30172	60
998	30187	30
999	30203	0
